employee_id,first_name,last_name,job_title,level,email,dob,phone,address,join_date
06308201,Jaka,Nababan,Construction Assistant,8,jaka.nababan@gdn-commerce.com,1978-12-06,+62839285740452,"Jl. Gatot Soebroto No. 67, Ngada, JK 01997",2019-03-31
06309989,Sandi,Harjono,Advertising Developer,9,sandi.harjono@gdn-commerce.com,1971-01-25,+62880647256935,"Apt. 159 Jl. Rasuna Said No. 14, Palembang, SB 93904",2019-03-07
06309053,Qorri,Nurdiansyah,Education Consultant,6,qorri.nurdiansyah@gdn-commerce.com,1990-07-24,+62874047552859,"Apt. 664 Jl. Juanda No. 42, Hulu Sungai Selatan, GO 62873",2018-08-21
06308843,Yudhistira,Zulfikri,Chief Consulting Engineer,13,yudhistira.zulfikri@gdn-commerce.com,1988-12-23,+62885680677166,"Suite 653 Jl. Hayamwuruk No. 27, Maybrat, BB 13282",2018-03-17
06300791,Bagus,Nugraha,Healthcare Engineer,12,bagus.nugraha@gdn-commerce.com,1995-01-18,+62852897071626,"Suite 725 Jl. Gatot Soebroto No. 62, Melawi, RI 97258",2017-10-02
06300666,Nisa,Oktara,Global Developer,13,nisa.oktara@gdn-commerce.com,1996-07-19,+62894396525366,"Jl. Juanda No. 14, Aceh Barat Daya, KB 85509",2016-03-25
06309683,Okta,Listyawan,Investor Real-Estate Manager,12,okta.listyawan@gdn-commerce.com,1976-07-13,+62862244161518,"Jl. Hayamwuruk No. 27, Pidie Jaya, KS 34152",2020-04-23
06300458,Sandi,Ismail,Healthcare Coordinator,6,sandi.ismail@gdn-commerce.com,1982-07-04,+62852260499868,"Suite 424 Jl. Kartini No. 98, Manado, ST 04271",2017-12-13
06309729,Deni,Setiawan,Dynamic Mining Administrator,9,deni.setiawan@gdn-commerce.com,1977-02-06,+62874336070490,"Jl. Gatot Soebroto No. 26, Sumedang, BA 60094",2018-12-27
06309724,Nina,Gozali,International Technician,10,nina.gozali@gdn-commerce.com,1985-03-25,+62888227666272,"Jl. Kartini No. 52, Pekalongan, KR 39383",2019-01-05
06302154,Choirul,Gozali,Design Associate,9,choirul.gozali@gdn-commerce.com,2002-06-14,+62855825331489,"Jl. Juanda No. 67, Yogyakarta, NT 31198",2019-09-20
06308714,Agus,Waluyo,District Marketing Strategist,5,agus.waluyo@gdn-commerce.com,2002-10-22,+62850605347576,"Jl. Hayamwuruk No. 18, Halmahera Barat, SM 33543",2019-05-06
06300971,Rosa,Wijaya,District Banking Supervisor,11,rosa.wijaya@gdn-commerce.com,1977-06-13,+62842444722081,"Jl. Gajahmada No. 48, Pasaman Barat, GO 05185",2019-08-31
06302100,Setya,Prawira,Design Technician,6,setya.prawira@gdn-commerce.com,1979-06-20,+62857220646265,"Suite 228 Jl. Gatot Soebroto No. 66, Barito Utara, PB 57489",2018-03-28
06301836,Lely,Suryatama,Corporate IT Strategist,8,lely.suryatama@gdn-commerce.com,1993-08-15,+62830906277803,"Suite 602 Jl. Gatot Soebroto No. 40, Konawe Utara, BA 33176",2018-09-28
06304408,Wira,Waluyo,Hospitality Coordinator,8,wira.waluyo@gdn-commerce.com,1973-02-17,+62884465862073,"Jl. Rasuna Said No. 52, Bojonegoro, SS 71744",2018-05-23
